property_id,address,zip,city,county,neighborhood,event_date,price,beds,baths,sqft,price_per_sqft,property_type,days_on_market,has_price_cut,price_cut_amount,zhvi_used,zhvi_3mo_pct,zhvi_12mo_pct,momentum_3_12,zhvi_confidence,rent_used,rent_imputed,median_sale_12mo,sales_count_12mo,is_thin_zip,inventory_latest,mortgage_payment_latest,growth_pct,target_arv,target_rent,target_yield,feature_source_files,source_file
p001,309 E Brandon St,00nan,Overton,Smith,Central,2026-02-01,149900.0,3.0,3.0,1700.0,88.17647058823529,,,False,,502501.6496430749,,,,0.8,,0.0045,0.9,3,True,0.9,1627.840119887299,,452251.4846787674,335.00109976204993,2.681796662538092,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p002,210 N Stephens St,00nan,Quitman,Wood,Central,2026-02-01,69000.0,3.0,2.0,1681.0,41.04699583581202,,,False,,502501.6496430749,,,,0.8,,931.6011672141746,186320.23344283493,2226170,False,186320.23344283493,1627.840119887299,,452251.4846787674,335.00109976204993,5.826106082818259,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p003,2901 Sunset Ln,00nan,Kilgore,Gregg,Northside,2026-02-01,140000.0,3.0,3.0,2510.0,55.776892430278885,,,False,,287880.9033023396,,,,1.0,1785.9166666666667,1785.9166666666667,1.1,17468,False,1.1,1627.840119887299,,259092.8129721057,1785.9166666666667,15.307857142857143,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;Zip_zori_uc_sfrcondomfr_sm_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p004,407 Baker St,00nan,Lindale,Smith,North,2026-02-01,,3.0,2.0,2003.0,,,,False,,527820.4347088503,,,,0.8,,-0.0005,-0.1,0,True,-0.1,1627.840119887299,,475038.3912379653,351.88028980590025,,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p005,10748 W Hwy 84,00nan,Rusk,Rusk,West,2026-02-01,112990.0,4.0,2.0,2144.0,52.70055970149254,,,False,,469378.59610378335,,,,0.8,,-0.0014999999999999,-0.3,0,True,-0.3,1627.840119887299,,422440.736493405,312.9190640691889,3.323328408558516,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p006,307 N Longview St,00nan,Kilgore,Gregg,Northside,2026-02-01,110000.0,3.0,2.0,1947.0,56.49717514124294,,,False,,287880.9033023396,,,,1.0,1785.9166666666667,1785.9166666666667,1.1,17468,False,1.1,1627.840119887299,,259092.8129721057,1785.9166666666667,19.482727272727274,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;Zip_zori_uc_sfrcondomfr_sm_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p007,430 Seminole,00nan,Quitman,Wood,Central,2026-02-01,46610.0,3.0,2.0,,,,,False,,502501.6496430749,,,,0.8,,931.6011672141746,186320.23344283493,2226170,False,186320.23344283493,1627.840119887299,,452251.4846787674,335.00109976204993,8.624786949462775,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p008,908 Burns St,00nan,Kilgore,Gregg,Northside,2026-02-01,64999.0,3.0,2.0,1336.0,48.65194610778443,,,False,,287880.9033023396,,,,1.0,1785.9166666666667,1785.9166666666667,1.1,17468,False,1.1,1627.840119887299,,259092.8129721057,1785.9166666666667,32.97127648117663,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;Zip_zori_uc_sfrcondomfr_sm_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p010,18958 County Road 356,00nan,Winona,Smith,Rural,2026-02-01,85500.0,3.0,2.0,1440.0,59.375,,,False,,198667.1625183814,,,,0.8,,0.011,2.2,3,True,2.2,1627.840119887299,,178800.44626654327,132.44477501225427,1.8588740352597093,county-zhvi-tier.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p011,309 McDaniel St,00nan,Mineola,Wood,Central,2026-02-01,115000.0,4.0,2.0,1200.0,95.83333333333331,,,False,,502501.6496430749,,,,0.8,,-0.0005,-0.1,0,True,-0.1,1627.840119887299,,452251.4846787674,335.00109976204993,3.495663649690956,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p012,220 S Chandler St,00nan,Rusk,Rusk,West,2026-02-01,115000.0,2.0,2.0,1232.0,93.34415584415584,,,False,,469378.59610378335,,,,0.8,,-0.0014999999999999,-0.3,0,True,-0.3,1627.840119887299,,422440.736493405,312.9190640691889,3.2652424076784934,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p013,444 Geronimo,00nan,Quitman,Wood,Central,2026-02-01,140000.0,2.0,2.0,1016.0,137.79527559055117,,,False,,502501.6496430749,,,,0.8,,931.6011672141746,186320.23344283493,2226170,False,186320.23344283493,1627.840119887299,,452251.4846787674,335.00109976204993,2.871437997960428,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p014,211 Blue Bird Ln,00nan,Mineola,Wood,Central,2026-02-01,148990.0,3.0,2.0,1202.0,123.95174708818637,,,False,,502501.6496430749,,,,0.8,,-0.0005,-0.1,0,True,-0.1,1627.840119887299,,452251.4846787674,335.00109976204993,2.698176519997717,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p015,613 N Newsom St,00nan,Mineola,Wood,Central,2026-02-01,149000.0,3.0,2.0,1407.0,105.89907604832976,,,False,,502501.6496430749,,,,0.8,,-0.0005,-0.1,0,True,-0.1,1627.840119887299,,452251.4846787674,335.00109976204993,2.697995434325234,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p016,327 Fairview St,00nan,Rusk,Rusk,West,2026-02-01,149000.0,3.0,2.0,1784.0,83.5201793721973,,,False,,469378.59610378335,,,,0.8,,-0.0014999999999999,-0.3,0,True,-0.3,1627.840119887299,,422440.736493405,312.9190640691889,2.520153536127696,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
p018,233 Blue Bird Ln,00nan,Mineola,Wood,Central,2026-02-01,149990.0,3.0,2.0,1202.0,124.783693843594,,,False,,502501.6496430749,,,,0.8,,-0.0005,-0.1,0,True,-0.1,1627.840119887299,,452251.4846787674,335.00109976204993,2.68018747726155,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,features_east_tx_v2.csv
